id	GROUP	ct	SECONDARY	infoline	origin	perturb	lifestage	age	age.units	sex	type	COLOR	category	Project	Donor	name
BSS00153	Epithelial	bronchial_epithelial_cell_female_treated_with_retinoic_acid	Lung	BRONCHIAL EPITHELIAL CELL	bronchial_epithelial_cell_female	retinoic_acid	unknown/mixed	unknown		female	primary cell	#FF9D0C	Primary Cell	ENCODE (New)	ENCDO099AAA	bronchial epithelial cell female treated with retinoic acid
BSS00157	Cancer	C4-2B	Reproductive	PROSTATE CANCER			adult	50	year	male	cell line	#000000	Other	ENCODE (New)	ENCDO000ACX	C4-2B
BSS00159	Cancer	Caco-2	Digestive	COLORECTAL ADENOCARCINOMA			adult	72	year	male	cell line	#000000	Other	ENCODE (New)	ENCDO000ACR	Caco-2
BSS00160	Cancer	Caki2	Kidney	KIDNEY CLEAR CELL CARCINOMA			adult	69	year	male	cell line	#000000	Other	ENCODE (New)	ENCDO140IFG	Caki2
BSS00166	Stromal	cardiac_fibroblast	Heart	CARDIAC FIBROBLAST			unknown/mixed	unknown		unknown/mixed	primary cell	#FF720C	Primary Cell	ENCODE (New)	ENCDO095AAA	cardiac fibroblast
BSS00167	Stromal	cardiac_fibroblast_female	Heart	CARDIAC FIBROBLAST			adult	unknown		female	primary cell	#FF720C	Primary Cell	ENCODE (New)	ENCDO230AAA	cardiac fibroblast female
BSS00168	Stromal	cardiac_fibroblast_female_embryo_(94_days)_and_female_embryo_(98_days)	Heart	CARDIAC FIBROBLAST			embryonic	94,98	day	female	primary cell	#FF720C	Primary Cell	ENCODE (New)	ENCDO298NZG,ENCDO754GEB	cardiac fibroblast female embryo (94 days) and female embryo (98 days)
BSS00169	ES-deriv	cardiac_mesoderm_originated_from_H7-hESC	Heart	CARDIAC MESODERM DERIV			embryonic	unknown		female	in vitro differentiated cells	#4178AE	Stem-like	ENCODE (New)	ENCDO221AAA	cardiac mesoderm originated from H7-hESC
BSS00170	Muscle	cardiac_muscle_cell		CARDIAC MYOCYTE			unknown/mixed	unknown		unknown/mixed	primary cell	#C2655D	Tissue	ENCODE (New)	ENCDO330AAA	cardiac muscle cell
BSS00171	ES-deriv	cardiac_muscle_cell_originated_from_RUES2	Heart	CARDIAC MUSCLE DERIV			embryonic	unknown		unknown/mixed	in vitro differentiated cells	#4178AE	Stem-like	ENCODE (New)	ENCDO924HBJ	cardiac muscle cell originated from RUES2
BSS00173	Brain	caudate_nucleus_female_adult_(75_years)		CAUDATE NUCLEUS			adult	75	year	female	tissue	#C5912B	Neural	Roadmap 2015	ENCDO871IWW	caudate nucleus female adult (75 years)
BSS00174	Brain	caudate_nucleus_male_adult_(78_years)		CAUDATE NUCLEUS			adult	78	year	male	tissue	#C5912B	Neural	ENCODE (New)	ENCDO317XRR	caudate nucleus male adult (78 years)
BSS00175	Brain	caudate_nucleus_male_adult_(81_year)		CAUDATE NUCLEUS			adult	81	year	male	tissue	#C5912B	Neural	Roadmap 2015	ENCDO980BZD	caudate nucleus male adult (81 year)
BSS00178	HSC & B-cell	CD14-positive_monocyte_female		CD14 MONOCYTE			unknown/mixed	unknown		female	primary cell	#55A354	Immune	ENCODE 2012	ENCDO265AAA,ENCDO266AAA	CD14-positive monocyte female
BSS00179	HSC & B-cell	CD14-positive_monocyte_female_adult_(34_years)		CD14 MONOCYTE			adult	34	year	female	primary cell	#55A354	Immune	Roadmap 2015	ENCDO579CCQ	CD14-positive monocyte female adult (34 years)
BSS00180	HSC & B-cell	CD14-positive_monocyte_male_adult_(21_year)		CD14 MONOCYTE			adult	21	year	male	primary cell	#55A354	Immune	Roadmap 2015	ENCDO190HXC	CD14-positive monocyte male adult (21 year)
BSS00181	HSC & B-cell	CD14-positive_monocyte_male_adult_(37_years)		CD14 MONOCYTE			adult	37	year	male	primary cell	#55A354	Immune	Roadmap 2015	ENCDO028NGF	CD14-positive monocyte male adult (37 years)
BSS00182	HSC & B-cell	CD1c-positive_myeloid_dendritic_cell		CD1C MYELOID DENDRITIC CELL			unknown/mixed	unknown		unknown/mixed	primary cell	#55A354	Immune	ENCODE (New)	ENCDO820BXZ	CD1c-positive myeloid dendritic cell
BSS00183	Blood & T-cell	CD4-positive,_alpha-beta_memory_T_cell		CD4 T CELL			unknown/mixed	unknown		unknown/mixed	primary cell	#678C69	Immune	Roadmap 2015	ENCDO194EHQ,ENCDO688UWB,ENCDO779YRY,ENCDO922CEJ	CD4-positive, alpha-beta memory T cell
BSS00185	Blood & T-cell	CD4-positive,_alpha-beta_memory_T_cell_originated_from_blood_cell		CD4 T CELL			unknown/mixed	unknown		unknown/mixed	primary cell	#678C69	Immune	Roadmap 2015	ENCDO966YSM	CD4-positive, alpha-beta memory T cell originated from blood cell
BSS00186	Blood & T-cell	CD4-positive,_alpha-beta_T_cell		CD4 T CELL			unknown/mixed	unknown		unknown/mixed	primary cell	#678C69	Immune	Roadmap 2015	ENCDO194EHQ,ENCDO779YRY	CD4-positive, alpha-beta T cell
BSS00188	Blood & T-cell	CD4-positive,_alpha-beta_T_cell_female_adult_(33_years)		CD4 T CELL			adult	33	year	female	primary cell	#678C69	Immune	Roadmap (New)	ENCDO412QUR	CD4-positive, alpha-beta T cell female adult (33 years)
BSS00189	Blood & T-cell	CD4-positive,_alpha-beta_T_cell_male_adult_(21_year)		CD4 T CELL			adult	21	year	male	primary cell	#678C69	Immune	Roadmap (New)	ENCDO190HXC	CD4-positive, alpha-beta T cell male adult (21 year)
BSS00190	Blood & T-cell	CD4-positive,_alpha-beta_T_cell_male_adult_(37_years)		CD4 T CELL			adult	37	year	male	primary cell	#678C69	Immune	Roadmap (New)	ENCDO028NGF	CD4-positive, alpha-beta T cell male adult (37 years)
BSS00191	Blood & T-cell	CD4-positive,_alpha-beta_T_cell_treated_with_phorbol_13-acetate_12-myristate_,_ionomycin		CD4 T CELL	CD4-positive,_alpha-beta_T_cell	phorbol_13-acetate_12-myristate_,_ionomycin	unknown/mixed	unknown		unknown/mixed	primary cell	#678C69	Immune	Roadmap 2015	ENCDO194EHQ,ENCDO779YRY	CD4-positive, alpha-beta T cell treated with phorbol 13-acetate 12-myristate , ionomycin
